Platform,Category,Platform type,Scope,Oslo relevance,Language,Ad origin,Best for,Priority,Status,Likely fit,Notes,Listings URL,Source URL,Verified date,Confidence,Acquisition tier,Feed URL
Arbeidsplassen (NAV),National / general,Primary job board,Norway,High,Norwegian + some English,Mostly original / syndicated,All sectors; public and private,1 Core,Verified active,High,Official national vacancy service. Useful filter: jobs that do not require a driving licence.,https://arbeidsplassen.nav.no/stillinger,https://arbeidsplassen.nav.no/stillinger,2026-08-05,High,Feed,https://pam-stilling-feed.nav.no/api/v1/feed
FINN Jobb,National / general,Primary job board,Norway,High,Mostly Norwegian,Mostly original,"Broad private-sector coverage; retail, service, tech",1 Core,Verified active,High,One of Norway’s largest commercial job boards.,https://www.finn.no/job/,https://www.finn.no/job/,2026-08-05,High,,
Jobbnorge,National / general,Primary job board / ATS,Norway,High,Norwegian + English,Mostly original,"Public sector, universities, research, specialist roles",1 Core,Verified active,Medium,Strong for public and academic vacancies.,https://www.jobbnorge.no/search/en,https://www.jobbnorge.no/search/en,2026-08-05,High,,
Webcruiter,National / general,ATS with public vacancy index,Norway,High,Norwegian + English,Original employer ads,"Municipalities, state bodies, large employers",1 Core,Verified active,Medium,Many Norwegian employers publish directly through this ATS.,https://candidate.webcruiter.com/nb-no/home/alladverts,https://candidate.webcruiter.com/nb-no/home/alladverts,2026-08-05,High,,
LinkedIn Jobs,National / general,Professional network / job board,Norway + global,High,Norwegian + English,Mixed,"Tech, sales, customer success, professional roles",1 Core,Verified active,High,Strong Oslo and international-company coverage; also useful for recruiter discovery.,https://www.linkedin.com/jobs/jobs-in-norway/,https://www.linkedin.com/jobs/jobs-in-norway/,2026-08-05,High,,
Indeed Norway,National / general,Aggregator / job board,Norway,High,Mostly Norwegian,Mixed; many duplicates,Broad search and long-tail employers,1 Core,Verified active,High,Check the employer’s original ad before applying.,https://no.indeed.com/,https://no.indeed.com/,2026-08-05,High,,
Glassdoor Norway,National / general,Aggregator + employer reviews,Norway + global,High,Mostly English,Mixed; many duplicates,"International employers, salary/review context",2 Supplemental,Verified active,Medium,Useful for company research as well as listings.,"https://www.glassdoor.com/Job/norway-jobs-SRCH_IL.0,6_IN180.htm","https://www.glassdoor.com/Job/norway-jobs-SRCH_IL.0,6_IN180.htm",2026-08-05,High,,
Jobbsafari,National / general,Aggregator / job board,Norway,High,Norwegian,Mixed,Broad Norwegian listings,2 Supplemental,Verified active,High,Often overlaps with primary boards.,https://www.jobbsafari.no/,https://www.jobbsafari.no/,2026-08-05,High,,
Careerjet Norway,National / general,Aggregator,Norway,High,Norwegian + English,Mostly aggregated,Broad discovery,3 Niche,Verified active,Medium,Use as a coverage check rather than the only source.,https://www.careerjet.no/,https://www.careerjet.no/,2026-08-05,High,,
Jooble Norway,National / general,Aggregator,Norway,High,Norwegian + English,Mostly aggregated,Broad discovery,3 Niche,Verified active,Medium,May redirect through several layers; find the original ad.,https://no.jooble.org/,https://no.jooble.org/,2026-08-05,High,,
Talent.com Norway,National / general,Aggregator,Norway,High,Norwegian + English,Mostly aggregated,Broad discovery,3 Niche,Verified active,Medium,Supplementary search engine.,https://no.talent.com/,https://no.talent.com/,2026-08-05,High,,
GrabJobs Oslo,Oslo / international,Aggregator / job board,Oslo + Norway,High,English + Norwegian,Mixed,"Entry-level, service, international discovery",3 Niche,Verified active,Medium,Dedicated Oslo search pages.,https://grabjobs.co/norway/jobs-in-oslo,https://grabjobs.co/norway/jobs-in-oslo,2026-08-05,High,,
Jobs.no,National / general,Job board,Norway,Medium,Norwegian,Mixed,General vacancies,3 Niche,Verified active,Medium,Smaller general board.,https://www.jobs.no/,https://www.jobs.no/,2026-08-05,High,,
KarriereStart,National / general,Career portal / job board,Norway,High,Norwegian,Mixed,"Students, graduates, broad roles",2 Supplemental,Verified active,High,Also powers some partner-branded job portals.,https://karrierestart.no/ledig-stilling,https://karrierestart.no/ledig-stilling,2026-08-05,High,,
Oslopolitan Jobs,Oslo / international,Partner job portal,Oslo region,High,English-friendly,Mixed,International talent in Oslo,2 Supplemental,Verified active,High,Useful for English-speaking and internationally oriented roles.,https://www.oslopolitan.no/jobs,https://www.oslopolitan.no/jobs,2026-08-05,High,,
JobsinOslo,Oslo / international,English-language job board,Oslo + Norway,High,English,Mixed,English-speaking professionals and expats,2 Supplemental,Verified active,High,Part of the Jobsin Network.,https://jobsinoslo.com/,https://jobsinoslo.com/,2026-08-05,High,,
EnglishJobs.no,Oslo / international,English-language aggregator,Norway,High,English,Mostly aggregated,English-speaking and remote roles,2 Supplemental,Verified active,High,Good supplementary filter; verify the original listing.,https://englishjobs.no/,https://englishjobs.no/,2026-08-05,High,,
EURES,Oslo / international,Official European job network,Norway + EEA,High,Multilingual,Employer/public-network ads,Cross-border and international recruitment,2 Supplemental,Verified active,Medium,Official EU/EEA mobility portal.,https://eures.europa.eu/jobseekers_en,https://eures.europa.eu/jobseekers_en,2026-08-05,High,,
Europass Find Jobs,Oslo / international,Official European search portal,Europe incl. Norway,Medium,Multilingual,Aggregated from EURES,Cross-border discovery,3 Niche,Verified active,Low,Overlaps heavily with EURES.,https://europa.eu/europass/en/find-jobs,https://europa.eu/europass/en/find-jobs,2026-08-05,High,,
Oslo kommune – ledige stillinger,Public sector,Employer network / public portal,Oslo,High,Norwegian,Original employer ads,"Municipal services, administration, care, schools",1 Core,Verified active,High,Major Oslo employer with many role types.,https://www.oslo.kommune.no/ledige-stillinger/,https://www.oslo.kommune.no/ledige-stillinger/,2026-08-05,High,,
Kommunaljobb,Public sector,Sector job board,Norway,High,Norwegian,Mostly original,Municipal and public-sector work,2 Supplemental,Verified active,Medium,Useful alongside Arbeidsplassen and Webcruiter.,https://www.kommunaljobb.no/,https://www.kommunaljobb.no/,2026-08-05,High,,
