Platform / name,Current status,Use instead,Reason / evidence note,Replacement URL,Checked date,Confidence
Startupmatcher,Merged,The Hub,Merged into The Hub in 2021; some official guidance still contains the old name.,https://thehub.io/jobs?countryCode=NO,2026-08-05,High
Graduateland,Merged / acquired,JobTeaser,Acquired and incorporated into JobTeaser; use JobTeaser for current listings.,https://www.jobteaser.com/en/job-offers,2026-08-05,High
Centric Care,Rebranded / transitioned,Eccera Care,Current healthcare staffing activity appears under Eccera Care.,https://eccera.com/no/care/,2026-08-05,Medium
Monster.no,Legacy / not verified active,"LinkedIn, FINN, Arbeidsplassen",Historic Norwegian portal; no current Norway-specific service verified.,,2026-08-05,Medium
Jucan,Legacy brand,Webcruiter,Historic Webcruiter-associated job portal/brand; use Webcruiter’s current vacancy index.,https://candidate.webcruiter.com/nb-no/home/alladverts,2026-08-05,Medium
Kelly Services Norway,Legacy / uncertain,"Adecco, Manpower, Randstad",Appears in older Norwegian directories; current Norway vacancy portal not verified.,,2026-08-05,Low
Jobbdirekte.no,Unverified / historical,"Arbeidsplassen, FINN",Found in older directory material but not independently verified as active.,,2026-08-05,Low
JobbOffentlig.no,Unverified / historical,"Kommunaljobb, Arbeidsplassen",Older public-sector portal reference; current active service not verified.,,2026-08-05,Low
Jobbportalen.no,Unverified / historical,"Arbeidsplassen, FINN",Older general portal reference; current active service not verified.,,2026-08-05,Low
Jobbtotal.no,Unverified / historical,"Jobbsafari, Indeed",Older aggregator reference; current active service not verified.,,2026-08-05,Low
Karriere.no,Unverified / historical,KarriereStart,Older portal reference; current active service not verified.,,2026-08-05,Low
KarrierePlassen.no,Unverified / historical,"Arbeidsplassen, FINN",Older portal reference; current active service not verified.,,2026-08-05,Low
Lærerjobb.no,Unverified / historical,"Utdanningsnytt, Arbeidsplassen",Older education portal reference; current active service not verified.,,2026-08-05,Low
Horecajobb.no,Unverified / historical,"Job Norway, FINN, Arbeidsplassen",Older hospitality portal reference; current active service not verified.,,2026-08-05,Low
Kommunikasjon.no jobs,Unverified / historical,"Kampanje Jobb, M24",Older communications job section reference; current active vacancy index not verified.,,2026-08-05,Low
Medrec.no,Unverified / historical,"Legejobber, Sykepleien Jobb",Older healthcare job portal reference; current active service not verified.,,2026-08-05,Low
Jobbforalle.no,Unverified / historical,Arbeidsplassen,Older inclusion-oriented portal reference; current active service not verified.,,2026-08-05,Low
Inkludi.no,Unverified / historical,Arbeidsplassen,Older inclusion-oriented portal reference; current active service not verified.,,2026-08-05,Low
Instacruit,Legacy / uncertain,"LinkedIn, MeetFrank",App-based recruitment service seen in older sources; current Norway job-board status not verified.,,2026-08-05,Low
Mojob,Legacy / uncertain,"LinkedIn, MeetFrank",Mobile recruitment platform seen in older sources; current Norway activity not verified.,,2026-08-05,Low
Jobbreg,Unverified / historical,"Webcruiter, Jobbnorge",Older recruitment portal reference; current active service not verified.,,2026-08-05,Low
Legejobb.no (singular),Legacy / ambiguous,Legejobber.no,Older directory used a similar singular name; current verified service is Legejobber.no.,https://www.legejobber.no/,2026-08-05,Low
